index,HC,index,HC,index,HC,index,PT,index,PT,index,PT
,Angry,,Happy,,Fearful,,Angry,,Happy,,Fearful
rgtUprLipRas,0.12066001300164673,rgtCnrPul,0.12176940582827764,rgtUprLidRas,0.133216482839476,rgtUprLipRas,0.13153949443367033,rgtCnrRas,0.13063222696903298,lftInrBrwRas,0.125864708930911
lftBrwLwr,0.0997045375769993,rgtCnrRas,0.0820353973719669,rgtUprLipStr,0.10382352472502808,rgtUprLidRas,0.12307730663531204,rgtCnrPul,0.08668918752582638,rgtCnrDep,0.10406869321808306
rgtUprLipStr,0.08533997629819727,lftInrBrwRas,0.07738478191446976,rgtCnrDep,0.09551067154580589,lftBrwLwr,0.10360916298149332,rgtChkRas,0.08110186445884024,rgtUprLipStr,0.09979300971150766
rgtUprLidRas,0.08456231295219156,rgtMthStr,0.06041771267723053,lftInrBrwRas,0.08908763212514892,rgtLwrLipStr,0.09046073838310228,rgtLwrLipDep,0.07658915682487868,rgtUprLipRas,0.09641941456992227
pcrs,0.07664126225037039,lftOutBrwRas,0.05511369607590965,lftNstrlPnch,0.08305351133801651,rgtUprLipStr,0.0865680574797286,rgtDmplr,0.07193375230713896,rgtUprLidDep,0.09591691687361226
chnRas,0.07302607507202791,rgtClnch,0.05140296326812486,rgtSqnt,0.07976258706627874,lftOutBrwRas,0.08468346877790303,rgtMthStr,0.07138412633366303,lftBrwLwr,0.09504385143449995
lftNstrlFlr,0.06805017996449259,rgtLwrLidTgt,0.051369703783245894,lftSqnt,0.07976258706627874,lftSqnt,0.07514922626702118,lftInrBrwRas,0.07130220284350106,rgtLwrLipStr,0.08711507342407661
rgtLwrLidRas,0.06593861655549478,lftUprLipSk,0.047640943277574725,rgtLwrLipStr,0.07616708494579492,rgtSqnt,0.07514922626702118,rgtLwrLidRas,0.06644437515094312,lftNstrlFlr,0.0755923404138754
rgtCnrDep,0.06577233474872406,rgtUprLipSk,0.047640943277574725,rgtLwrLipDep,0.07170713416995034,rgtChkRas,0.06791256799195423,lftUprLipSk,0.06574971222051496,rgtLwrLidTgt,0.07486683250039262
rgtChkRas,0.06360340740306672,rgtDmplr,0.04549904177235546,rgtLwrLidTgt,0.06518730780132154,rgtLwrLidTgt,0.06459486873053706,rgtUprLipSk,0.06574971222051496,lftSqnt,0.07423280023136763
